Offense,Bailable
requirement to furnish handwriting and signature specimen section 32eiv,not directly related to an offense
prohibition on possession or use of specified article section 32eviii,not directly related to an offense
requirement to enter into a bond section 32f,not directly related to an offense
delegation of power to specific authority section 33,not directly related to an offense
handling of foreigner under parole section 42,not directly related to an offense
prohibition on assisting escaped internee or person on parole section 43,nonbailable
requirement for hotel keeper to maintain record section 73,nonbailable
restriction of access to foreigner section 7a2,not directly related to an offense
access to land and property section 113,not directly related to an offense
repeal of conflicting provision section 16,not directly related to an offense
penalty for falsifying identity or information section 14,nonbailable
prohibition of harboring foreigner section 132,nonbailable
requirement to report particular by foreigner section 72,nonbailable
access to document for verification section 73,not directly related to an offense
power to close or restrict access to place section 7a1,not directly related to an offense
right to appeal against order section 7a3,not directly related to an offense
power to regulate the use of specific premise section 7a2,not directly related to an offense
legal immunity for action under the act section 15,not directly related to an offense
power to impose additional condition on foreigner section 32eix,not directly related to an offense
immediate reporting of suspected violation implicit in various section,not directly related to an offense
forfeiture of bond section 14,nonbailable
implementation of order beyond the central government section 31,not directly related to an offense
use of photograph and fingerprint section 32eiv,not directly related to an offense
extension of act to various territory section 12,not directly related to an offense
regulation of foreigner departure section 32b,not directly related to an offense
obligation of aircraft pilot section 6,nonbailable
responsibility of owner and agent of vessel or aircraft section 65,nonbailable
obligation to furnish identity and other particular section 32eiii,nonbailable
prohibition of foreigner from engaging in specified activity section 32evii,nonbailable
condition of detention or confinement section 41,nonbailable
legal procedure for detention order section 4,nonbailable
dealing with foreigner in transit implicit in section 6,nonbailable
right to challenge nationality determination section 82,not directly related to an offense
power to regulate movement within india section 32eii,not directly related to an offense
regulation of foreigner use of communication implicit in section 3 and 7,not directly related to an offense
procedure for handling foreign national of multiple nationality section 8,not directly related to an offense
handling of document and article belonging to foreigner section 32eviii,not directly related to an offense
regulation of access to information by foreigner implicit in various section,not directly related to an offense
custom and immigration compliance implicit in section 3 and 6,nonbailable
immediate implementation of order implicit in section 3 and 11,not directly related to an offense
special power during wartime implicit in various section,nonbailable
prohibition on specific form of communication implicit in section 32eix,not directly related to an offense
condition for granting exemption section 3a,not directly related to an offense
impact on diplomatic relation implicit in section 3a and 8,not directly related to an offense
interaction with other international law implicit in section 3a and 8,not directly related to an offense
management of foreign national during national emergency implicit in various section,nonbailable
restriction on access to certain profession implicit in section 32evii,not directly related to an offense
monitoring of foreigner financial transaction implicit in section 32eix,not directly related to an offense
role of local authority in enforcement implicit in section 12 and 7a,not directly related to an offense
inspection of foreigner document and article implicit in section 73,not directly related to an offense
provision for appeal against deportation order implicit in section 3,not directly related to an offense
handling of stateless person implicit in section 8,not directly related to an offense
impact of criminal activity on visa status implicit in section 14 and 14a,nonbailable
regulation of foreigner in border area implicit in section 32e,nonbailable
provision for transit passenger implicit in section 6,nonbailable
treatment of foreigner in protected or sensitive area implicit in section 32e,nonbailable
requirement to notify authority of change in personal detail implicit in section 32eiii,nonbailable
enhanced penalty during national emergency implicit in section 14a,nonbailable
special provision for citizen of country with hostile relation implicit in section 32e,nonbailable
regulation of foreigner participation in political activity implicit in section 32evii,nonbailable
temporary detention for verification of identity implicit in section 32g,nonbailable
requirement for foreigner to carry identification at all time implicit in section 32eiii,nonbailable
special procedure for handling diplomatic immunity claim implicit in section 3a,not directly related to an offense
coordination with immigration authority for border control implicit in section 3 and 6,nonbailable
requirement for prior permission for certain activity implicit in section 32evii,nonbailable
authority to seize suspicious document or property implicit in section 32eviii and 11,nonbailable
management of foreigner communication with external entity implicit in section 32eix,nonbailable
special monitoring of foreigner involved in sensitive industry implicit in section 32evii,nonbailable
restriction on foreigner owning property in sensitive area implicit in section 32e,nonbailable
handling of foreigner during pandemic or public health crisis implicit in section 32e,nonbailable
special regulation for foreign business owner implicit in section 32e,nonbailable
requirement for foreigner financial transparency implicit in section 32eix,nonbailable
enhanced surveillance of foreign national with criminal background implicit in section 32g,nonbailable
prohibition of foreigner from accessing classified or sensitive information implicit in section 32eviii,nonbailable
deportation procedure for foreigner who violate human right implicit in section 14,nonbailable
regulation for foreign charitable organization implicit in section 32e,nonbailable
handling of foreigner accused of espionage implicit in section 32g,nonbailable
regulation of foreigner involvement in religious conversion activity implicit in section 32evii,nonbailable
restriction on foreigner using electronic device implicit in section 32eviii,nonbailable
provision for monitoring foreigner on parole implicit in section 4,nonbailable
increased penalty for foreigner involved in organized crime implicit in section 14,nonbailable
regulation of foreign investment in strategic industry implicit in section 32e,nonbailable
handling of foreigner during civil disturbance implicit in section 32e,nonbailable
restriction on foreigner use of public transportation implicit in section 32evii,nonbailable
monitoring of foreigner social medium activity implicit in section 32eix,nonbailable
regulation of foreigner access to natural resource implicit in section 32e,nonbailable
special provision for foreign national engaged in maritime activity implicit in section 6,nonbailable
handling of foreign national who commit offense abroad implicit in section 13,nonbailable
regulation on foreigner participation in indian election implicit in section 32evii,nonbailable
restriction on foreigner filming or photographing in sensitive area implicit in section 32eviii,nonbailable
handling of foreigner engaged in crossborder trade implicit in section 32e,nonbailable
provision for restricting access to sensitive digital information implicit in section 32eviii,nonbailable
regulation of foreigner involvement in educational institution implicit in section 32e,nonbailable
handling of foreign national during evacuation or disaster relief operation implicit in section 32e,nonbailable
restriction on foreigner engagement in social activism implicit in section 32evii,nonbailable
provision for foreigner seeking employment in india implicit in section 32e,nonbailable
regulation of foreigner access to financial service implicit in section 32eix,nonbailable
handling of foreigner with diplomatic status during security threat implicit in section 3a,not directly related to an offense
management of foreigner participation in cultural and sporting event implicit in section 7a,nonbailable
provision for handling foreigner in transit zone implicit in section 6,nonbailable
criminal breach of trust ipc section 405406,nonbailable
cheating ipc section 415417,bailable if the amount involved is small nonbailable if the amount is significant
criminal misconduct by a public servant prevention of corruption act 1988 section 13,nonbailable
offense under central excise act 1944 section 9,depends on the nature of the offense generally nonbailable if the duty exceeds one lakh rupee
wilful attempt to evade tax income tax act 1961 section 276c,nonbailable
smuggler and foreign exchange manipulator forfeiture of property act 1976,nonbailable
offense under narcotic drug and psychotropic substance act 1985,nonbailable
taking gratification other than legal remuneration by a public servant prevention of corruption act 1988 section 7,nonbailable
economic crime related to fraud corruption cybercrime money laundering etc,depends on the specific offense and law applied
smuggling,nonbailable depends on the case specific
tax evasion,nonbailable
cyber economic crime,depends on the specific offense
credit card fraud,nonbailable
money laundering,nonbailable
criminal breach of trust,nonbailable
cheating,depends on the gravity of the offense
criminal misconduct by a public servant,nonbailable
offense under the central excise act,nonbailable if duty exceeds one lakh rupee
wilful attempt to evade tax,nonbailable
property offense forfeiture of property,nonbailable
offense under narcotic drug and psychotropic substance act,nonbailable
taking gratification other than legal remuneration by public servant,nonbailable
offense related to cyber extortion espionage and cyber warfare,depends on the specific offense
cyber terrorism,nonbailable
cyber extortion,nonbailable
espionage on security breach,nonbailable
unauthorized access to credit card data,nonbailable if it involves significant fraud
fraudulent act in stock market insider trading market manipulation etc,nonbailable
forgery,nonbailable
falsification of account,nonbailable
illegal activity by financial institution,depends on the severity of the offense
misuse of public office for personal gain,nonbailable
fraudulent bankruptcy,bailable if the offense is minor
illegal mining and environmental violation,nonbailable
offense under the company act fraudulent practice misrepresentation etc,nonbailable
smuggling of narcotic,nonbailable
money laundering,nonbailable
offense related to terror financing,nonbailable
wilful default in loan repayment,bailable depends on the amount involved
yber economic terrorism,nonbailable
cyber economic extortion,nonbailable
cyber warfare and espionage on security breach,nonbailable
illegal movement of good smuggling,nonbailable for severe case
drug trafficking and smuggling of narcotic,nonbailable
fraudulent financial practice eg fake currency stock manipulation,nonbailable depends on specific
foreign exchange violation,nonbailable
possession of property disproportionate to known source of income public servant,nonbailable
forgery and counterfeiting,nonbailable depends on document type
illicit financial activity linked to organized crime eg hawala transaction,nonbailable
misappropriation of public fund by corporate entity or public official,nonbailable
public servant taking gratification in respect of official act,nonbailable
false declaration and submission of information to government authority,bailable for minor offense nonbailable serious case
corporate fraud eg misrepresentation in financial statement insider trading,nonbailable for major fraud case
tampering with computer source document,bailable
computer related offense,bailable
punishment for sending offensive message,bailable
punishment for dishonestly receiving stolen computer resource,bailable
punishment for identity theft,bailable
punishment for cheating by personation,bailable
punishment for violation of privacy,bailable
punishment for cyber terrorism,nonbailable
punishment for publishing or transmitting obscene material,bailable
publishing material containing sexually explicit act,bailable
publishing material depicting child in explicit act,bailable
preservation and retention of information by intermediary,bailable
power of controller to give direction,bailable
power to issue direction for interception or monitoring,nonbailable
power to issue direction for blocking public access,nonbailable
power to authorize monitoring and collection of traffic data,bailable
protected system,bailable
national nodal agency,bailable
penalty for misrepresentation,bailable
penalty for breach of confidentiality and privacy,bailable
punishment for disclosure of information in breach of lawful contract,bailable
penalty for publishing false electronic signature certificate,bailable
publication for fraudulent purpose,bailable
act to apply for offense committed outside india,bailable
confiscation,bailable
compensation penalty or confiscation not to interfere with other punishment,bailable
compounding of offense,bailable
offense with three year imprisonment to be bailable,bailable
power to investigate offense,bailable
exemption from liability of intermediary,bailable
central government to notify examiner of electronic evidence,bailable
power of police officer and other officer to enter search etc,bailable
act to have overriding effect,bailable
application of the act to electronic cheque and truncated cheque,bailable
controller deputy controller and assistant controller to be public servant,bailable
power to give direction,bailable
protection of action taken in good faith,bailable
mode or method for encryption,bailable
punishment for abetment of offense,bailable
punishment for attempt to commit offense,bailable
offense by company,bailable
removal of difficulty,bailable
tampering with computer source document,bailable
computerrelated offense,bailable
punishment for sending offensive message through communication service,bailable
punishment for dishonestly receiving stolen computer resource or device,bailable
punishment for identity theft,bailable
punishment for cheating by personation by using computer resource,bailable
punishment for violation of privacy,bailable
punishment for cyber terrorism,nonbailable
punishment for publishing or transmitting obscene material in electronic form,bailable
punishment for publishing or transmitting of material containing sexually explicit act,bailable
punishment for publishing or transmitting material depicting child in sexually explicit act,bailable
preservation and retention of information by intermediary,bailable
power of controller to give direction,bailable
power to issue direction for interception or monitoring or decryption,nonbailable
power to issue direction for blocking public access,nonbailable
power to authorize monitoring and collection of traffic data or information,bailable
protected system,bailable
national nodal agency,bailable
indian computer emergency response team to serve a national agency for incident response,bailable
penalty for misrepresentation,bailable
penalty for breach of confidentiality and privacy,bailable
punishment for disclosure of information in breach of lawful contract,bailable
penalty for publishing false electronic signature certificate,bailable
publication for fraudulent purpose,bailable
act to apply for offense committed outside india,bailable
confiscation,bailable
compensation penalty or confiscation not to interfere with other punishment,bailable
compounding of offense,bailable
offense with imprisonment of three year to be bailable,bailable
power to investigate offense,bailable
exemption from liability of intermediary,bailable
central government to notify examiner of electronic evidence,bailable
power of police officer and other officer to enter search etc,bailable
act to have overriding effect,bailable
application of the act to electronic cheque and truncated cheque,bailable
controller deputy controller and assistant controller to be public servant,bailable
power to give direction,bailable
protection of action taken in good faith,bailable
mode or method for encryption,bailable
punishment for abetment of offense,bailable
punishment for attempt to commit offense,bailable
offense by company,bailable
removal of difficulty,bailable
tampering with computer source document,bailable
computerrelated offense,bailable
sending offensive message through communication service,bailable
dishonestly receiving stolen computer resource or device,bailable
identity theft,bailable
cheating by personation using computer resource,bailable
violation of privacy,bailable
cyber terrorism,nonbailable
publishing or transmitting obscene material in electronic form,bailable
transmitting material containing sexually explicit act,bailable
child pornography,bailable
preservation and retention of information by intermediary,bailable
power of controller to give direction,bailable
direction for interception monitoring or decryption,nonbailable
blocking public access to any information through computer resource,nonbailable
monitoring and collecting traffic data,bailable
protected system,bailable
national nodal agency,bailable
indian computer emergency response team certin,bailable
misrepresentation,bailable
breach of confidentiality and privacy,bailable
disclosure of information in breach of lawful contract,bailable
publishing false digital signature,bailable
publication for fraudulent purpose,bailable
offense committed outside india,bailable
confiscation of computer resource,bailable
compensation penalty or confiscation,bailable
compounding of offense,bailable
offense with imprisonment up to three year,bailable
power to investigate offense,bailable
exemption from liability of intermediary,bailable
central government to notify examiner of electronic evidence,bailable
power to enter search and arrest without a warrant,bailable
act to have overriding effect,bailable
application to electronic cheque and truncated cheque,bailable
controller and deputy controller to be public servant,bailable
power to give direction,bailable
protection of action taken in good faith,bailable
mode or method for encryption,bailable
punishment for abetment of offense,bailable
attempt to commit offense,bailable
offense by company,bailable
removal of difficulty,bailable
penetrative sexual assault,nonbailable
aggravated penetrative sexual assault,nonbailable
sexual assault,nonbailable
aggravated sexual assault,nonbailable
sexual harassment,bailable
use of child for pornographic purpose,nonbailable
punishment for storage of pornographic material,bailable
failure to report or record a case,bailable
false complaint or false information,bailable
use of child for pornographic purpose with participation in sexual act,nonbailable
aggravated sexual assault by authority,nonbailable
administering drug or intoxicant to a child to facilitate sexual assault,nonbailable
trafficking of a minor for sexual exploitation,nonbailable
kidnapping or abducting a child to commit sexual offense,nonbailable
engaging in sexual conduct in the presence of a child,nonbailable
exploiting a child for sexual purpose in the course of communal or sectarian violence,nonbailable
commission of sexual offense by person in position of authority or trust,nonbailable
repeat offender previous conviction under any sexual offense,nonbailable
storage of pornographic material involving a child for commercial purpose,nonbailable
failure to delete or destroy child pornographic material,bailable
administering hormone or chemical substance to a child to induce early sexual maturity,nonbailable
sexual assault in exchange for payment or benefit,nonbailable
offense committed during a situation of natural calamity,nonbailable
using a child for pornographic purpose with direct participation in offense under section 3 5 7 9,nonbailable
aggravated penetrative sexual assault section 6,nonbailable
aggravated sexual assault section 10,nonbailable
storage of pornographic material involving a child for commercial purpose section 15,bailable
punishment for failure to report or record a case by institution head section 21,bailable
punishment for false complaint or false information against a child section 22,bailable
use of child for pornographic purpose section 141,bailable
penetrative sexual assault by participating in pornographic act section 142,nonbailable
aggravated penetrative sexual assault by participating in pornographic act section 143,nonbailable
sexual assault by participating in pornographic act section 144,nonbailable
aggravated sexual assault by participating in pornographic act section 145,nonbailable
attempt to commit an offense under pocso act section 18,nonbailable
abetment of an offense under pocso act section 16,nonbailable
failure to report an offense by any person section 19,bailable
failure to report an offense by medium personnel hotel lodge hospital staff etc section 20,bailable
nan,nan
revealing the identity of the child victim section 23,bailable
punishment for repeated offense under pocso act section 24,nonbailable
offense committed during communal or sectarian violence section 25,nonbailable
offense committed by public servant section 26,nonbailable
using child for drug trafficking section 27,nonbailable
communicating or exhibiting pornographic material to a child section 15,bailable
use of child for pornographic purpose with aggravated circumstance section 142 143,nonbailable
use of child for sexual gratification by person in authority or trust section 5,nonbailable
threatening or coercing a child not to disclose abuse section 195,nonbailable
using a child for pornography with penetrative sexual assault section 142,nonbailable
using a child for pornography with aggravated penetrative sexual assault section 143,nonbailable
using a child for pornography with sexual assault section 144,nonbailable
using a child for pornography with aggravated sexual assault section 145,nonbailable
punishment for attempt to commit offense section 18,nonbailable
punishment for abetment of offense section 16,nonbailable
revealing the identity of the child victim section 23,bailable
punishment for repeated offense under pocso act section 24,nonbailable
offense committed during communal or sectarian violence section 25,nonbailable
offense committed by public servant section 26,nonbailable
using child for drug trafficking section 27,nonbailable
failure to maintain confidentiality of victim identity section 33,bailable
disclosure of child identity by medium section 23,nonbailable
offense committed by a group or during communal violence section 29,nonbailable
failure to record information by a police officer section 20,bailable
punishment for destroying evidence section 30,nonbailable
revealing the identity of the child victim section 23,bailable
punishment for repeated offense under pocso act section 24,nonbailable
offense committed during communal or sectarian violence section 25,nonbailable
offense committed by public servant section 26,nonbailable
using child for drug trafficking section 27,nonbailable
putting any inedible or obnoxious substance into the mouth of a member of scst,nonbailable
dumping excreta sewage carcass or any other obnoxious substance in premise of scst,nonbailable
forcing scst member to drink or eat inedible substance,nonbailable
garland with footwear or parade nakedseminaked an scst member,nonbailable
wrongfully occupying or cultivating scst land,nonbailable
making an scst member do begar or forcedbonded labor,nonbailable
compelling scst to dispose of humananimal carcass,nonbailable
performing or promoting devadasi system,nonbailable
intimidating scst to vote in a particular way,nonbailable
intentionally insulting or intimidating scst with intent to humiliate,nonbailable
instituting false malicious or vexatious suit against scst,nonbailable
committing any offense against scst for votingnonvoting in a particular way,nonbailable
denying scst access to place of public resort,nonbailable
forcing scst to leave their house village or place of residence,nonbailable
forcing or causing scst to perform manual scavenging,nonbailable
rioting with deadly weapon,nonbailable
voluntarily causing hurt to deter a public servant from his duty,nonbailable
committing mischief by fire to destroy scst property,nonbailable
sexual harassment of scst woman,nonbailable
sexual intercourse by a person in authority with scst,nonbailable
criminal trespass against scst,nonbailable
assault or criminal force to outrage the modesty of scst woman,nonbailable
preventing scst from entering place of worship,nonbailable
denying scst access to public facility such a water source road or public transport,nonbailable
instituting false or malicious litigation against scst member,nonbailable
forcibly removing clothes or tonsuring head of scst member,nonbailable
forcing scst member to engage in manual scavenging or similar degrading work,nonbailable
committing sexual harassment or outraging the modesty of scst woman,nonbailable
making scst member perform begar or other form of forced or bonded labor,nonbailable
displacing scst member from their land or property,nonbailable
economic or social boycott of scst member,nonbailable
preventing scst member from filing nomination in election or from voting,nonbailable
kidnapping or abducting scst member,nonbailable
sexual intercourse by a person in authority like a public servant with scst woman,nonbailable
forcing or intimidating scst member to leave their house village or place of residence,nonbailable
wrongfully dispossessing scst member from their land or interfering with their right,nonbailable
committing any other offense against scst a mentioned in the indian penal code punishable by 10 year or more,nonbailable
obstructing or preventing scst from using common resource such a water burial ground etc,nonbailable
knowingly giving false or fabricated evidence against scst member,nonbailable
causing physical harm or mental agony to scst on the allegation of witchcraft,nonbailable
criminal intimidation against scst member,nonbailable
assaulting scst woman with the intent to outrage modesty,nonbailable
corrupting or fouling water source used by scst,nonbailable
denying customary right of passage or access to public place to scst,nonbailable
rioting or unlawful assembly involving scst,nonbailable
committing mischief by fire or explosive substance causing damage to scst property,nonbailable
committing mischief by fire causing destruction of scst place of worship or dwelling,nonbailable
performing act intended to insult or humiliate scst by caste name,nonbailable
assaulting or using criminal force to scst woman with intent to outrage modesty,nonbailable
promoting feeling of enmity or hatred against scst member,nonbailable
touching scst woman inappropriately or using wordsacts of a sexual nature,nonbailable
forcibly tonsuring the head removing mustache painting face or body of scst member,nonbailable
garlanding scst member with footwear,nonbailable
making scst member parade naked or seminaked,nonbailable
performing act that are derogatory to human dignity against scst member,nonbailable
making scst member do act like removing clothes from their body against their will,nonbailable
corrupting or fouling the water of any source used by scst member,nonbailable
denying scst member access to place of public resort worship or education,nonbailable
enforcing social or economic boycott against scst member,nonbailable
committing offense with a deadly weapon against scst,nonbailable
committing any act that cause harm or damage to scsts property with intent,nonbailable
committing or attempting to commit rioting with deadly weapon targeting scst,nonbailable
publicly abusing scst by caste name,nonbailable
preventing scst member from mounting or riding animal bicycle or vehicle in public place,nonbailable
obstructing scst from participating in social cultural or religious procession,nonbailable
kidnapping or abducting scst member with intent to cause harm,nonbailable
assaulting scst member with the intent to humiliate them publicly,nonbailable
engaging in or promoting the dedication of scst woman to a deity devadasi system,nonbailable
forcing scst member to dispose of or carry humananimal carcass,nonbailable
making false complaint against scst member to public servant,nonbailable
misusing legal authority to cause injury or annoyance to scst,nonbailable
forcing scst member to act in way that obstruct their right in panchayat or municipality,nonbailable
intimidating scst member to prevent them from performing duty a public official,nonbailable
committing act of sexual nature against scst woman without consent,nonbailable
using word or gesture of a sexual nature towards scst woman,nonbailable
imposing collective fine on scst community,nonbailable
failing to take preventive action against atrocity targeting scst member,nonbailable
instituting false criminal or other legal proceeding against scst member,nonbailable
giving or fabricating false evidence against scst member to cause conviction of a capital offense,nonbailable
committing mischief by fire or explosive substance intending to damage scst place of worship,nonbailable
using derogatory language against late person held in high esteem by scst,nonbailable
public servant disobeying direction of law with intent to save person from punishment,nonbailable
forcing or causing an scst person to leave his house village or place of residence,nonbailable
imposing a social or economic boycott on scst person or their family,nonbailable
attempting to promote feeling of enmity hatred or illwill against scst by word or sign,nonbailable
knowingly using one power a a public servant to cause harm or annoyance to scst,nonbailable
tampering with evidence related to offense committed against scst,nonbailable
obstructing scst from using any common property resource or burialcremation ground,nonbailable
public servant failing to perform duty related to protecting scst from atrocity,nonbailable
externment order removal of person likely to commit offense under the act,nonbailable
violating externment order made under the act,nonbailable
knowingly associating with activity that promote or support atrocity against scst,nonbailable
publishing or circulating false information intending to harm scst community,nonbailable
aiding or abetting in the commission of any offense against scst member,nonbailable
committing any mischief by fire or explosive substance causing damage to scst property,nonbailable
voluntarily causing grievous hurt to scst member,nonbailable
using criminal force against scst member to disrobe them,nonbailable
forcibly dispossessing scst member from their agricultural land or residential property,nonbailable
obstructing scst member from accessing service under a contract for consideration,nonbailable
wrongfully occupying land owned by scst member,nonbailable
preventing scst member from accessing common resource like river well and bathing ghat,nonbailable
fabricating record to occupy land belonging to scst member,nonbailable
employing scst member in practice that violate their dignity such a forced labor in hazardous work,nonbailable
refusing to deal with or do business with scst member economic boycott,nonbailable
denying scst member access to basic necessity like water and sanitation,nonbailable
exploiting scst member by making them work under oppressive condition,nonbailable
engaging in any form of untouchability practice against scst member,nonbailable
forcing or threatening scst member to engage in act of witchcraft or other harmful traditional practice,nonbailable
intimidating or coercing scst member to withdraw from legal case,nonbailable
publicly humiliating scst member by making false accusation of moral or social crime,nonbailable
making threat to scst member that prevent them from exercising their legal right,nonbailable
committing or facilitating the forced sterilization of scst member without their consent,nonbailable
forcing scst member to live in segregated area,nonbailable
blocking scst member from accessing justice by influencing legal proceeding,nonbailable
exploiting or harassing scst member by denying access to any financial service including loan and banking,nonbailable
preventing scst child from accessing educational institution,nonbailable
forcing scst member into involuntary servitude such a child labor or human trafficking,nonbailable
intimidating scst member to prevent them from attending public or community event,nonbailable
falsely accusing scst member of crime to malign their reputation,nonbailable
misusing scst member for experimental or harmful medical practice,nonbailable
obstructing scst member from participating in government welfare scheme or benefit,nonbailable
preventing scst member from building or maintaining their home,nonbailable
obstructing scst member from enjoying their forest right or traditional livelihood,nonbailable
using force or deceit to take scst member signature or thumbprint on false document,nonbailable
denying scst member access to health care facility,nonbailable
preventing scst member from accessing legal aid or representation in court,nonbailable
destroying or defiling sacred symbol or item of cultural importance to scst member,nonbailable
preventing scst member from accessing market or trading their good,nonbailable
coercing scst member into adopting certain religious practice against their will,nonbailable
defaming scst leader or figure held in high esteem to degrade the community,nonbailable
withholding wage or compensation from scst member without justification,nonbailable
forcing scst member to vacate their ancestral land through intimidation or coercion,nonbailable
using scst member a subject for derogatory or discriminatory portrayal in medium,nonbailable
preventing scst member from participating in social or cultural activity freely,nonbailable
obstructing scst member from accessing justice by influencing witness,nonbailable
failing to perform public duty to protect scst member from atrocity,nonbailable
tampering with evidence related to crime against scst member,nonbailable
intimidating scst member to prevent them from exercising their legal right such a filing complaint,nonbailable
falsely claiming to belong to scst to gain benefit meant for them,nonbailable
detaining scst member unlawfully or restraining their movement without legal ground,nonbailable
forcing scst member to work under exploitative condition without proper compensation,nonbailable
impeding scst member from registering legal complaint with authority,nonbailable
restricting scst member freedom of movement in public space,nonbailable
forcing scst member to engage in dangerous or unhealthy work condition without proper safety measure,nonbailable
forcing scst member to perform humiliating act that degrade their dignity,nonbailable
manipulating scst community resource for personal or political gain,nonbailable
harassing scst member through abusive or threatening communication including letter or digital mean,nonbailable
preventing scst member from inheriting or transferring property,nonbailable
withholding essential service like electricity water or sanitation from scst locality,nonbailable
coercing scst member into withdrawing from participating in public life,nonbailable
preventing scst member from accessing legal documentation or identity proof necessary for government service,nonbailable
engaging in discriminatory pricing or trade practice against scst community member,nonbailable
denying scst member the right to practice their cultural or religious custom freely,nonbailable
using scst community symbol or heritage inappropriately without consent or respect,nonbailable
blocking scst member from applying for job education or participating in economic activity,nonbailable
discriminating against scst member in the workplace or educational institution,nonbailable
preventing scst member from accessing or residing in certain area or neighborhood,nonbailable
destroying or defacing scst community property such a home place of worship or community center,nonbailable
spreading rumor or misinformation aimed at inciting hatred against scst community,nonbailable
using scst community member personal data for discriminatory purpose without their consent,nonbailable
engaging in hate speech or incitement of violence specifically targeting scst individual,nonbailable
blocking scst member from obtaining governmentissued permit or license,nonbailable
discriminating in the provision of good and service to scst member,nonbailable
using coercion or fraud to get scst member to sell their land at unfair price,nonbailable
excluding scst member from public meeting or civic participation due to their caste status,nonbailable
refusing entry to scst member in hotel restaurant or other public accommodation,nonbailable
making discriminatory mark or sign on property owned by scst to discourage their use,nonbailable
illegally collecting fee or demanding bribe from scst member for service that should be free,nonbailable
conducting unauthorized surveillance or monitoring of scst individual without legal justification,nonbailable
discriminating against scst member in insurance housing loan or other financial service,nonbailable
excluding scst member from professional association or club based on caste,nonbailable
denying scst member the right to speak or raise issue in public forum or community meeting,nonbailable
abusing scst member verbally physically or psychologically in a manner intended to degrade them,nonbailable
using scst member in political propaganda without their consent,nonbailable
